City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
67,Cayenne,GF,89.64,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
69,Bosaso,SO,89.6,few clouds,11.2842,49.1816,Red Sea Hotel
76,Zaqatala,AZ,82.87,few clouds,41.6336,46.6433,Ag Bina Hotel & Spa
79,Montceau-Les-Mines,FR,75.36,broken clouds,46.6667,4.3667,ibis Montceau-les-Mines
82,Butaritari,KI,82.98,few clouds,3.0707,172.7902,Isles Sunset Lodge
85,Lazaro Cardenas,MX,76.35,overcast clouds,17.9583,-102.2,quinta antigua
90,Kuala Terengganu,MY,81.09,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
94,Buchanan,LR,84.16,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
95,Pointe Michel,DM,83.44,scattered clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
96,Pucallpa,PE,87.84,clear sky,-8.3791,-74.5539,Hospedaje Komby
100,Makeni,SL,78.22,moderate rain,8.8833,-12.05,Multiple Guesthouse
101,Chapais,CA,81.14,clear sky,49.7834,-74.8492,Hôtel Opémiska
102,Dingle,PH,77.43,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
105,Jamestown,US,77.34,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
112,Atuona,PF,77.14,few clouds,-9.8,-139.0333,Villa Enata
113,Broome,US,78.69,few clouds,42.2506,-75.833,Chenango Valley State Park
114,Hasaki,JP,77.4,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
115,Labuhan,ID,78.44,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
118,Hami,CN,88.84,few clouds,42.8,93.45,Laoyutang Resort
121,Ponta Do Sol,PT,79.43,clear sky,32.6667,-17.1,Hotel do Campo
122,Pendleton,US,83.91,clear sky,45.6721,-118.7886,Americas Best Value Inn Pendleton
124,Neyshabur,IR,83.48,broken clouds,36.2133,58.7958,Amiran Hotel
128,Raleigh,US,84.18,few clouds,35.7721,-78.6386,Raleigh Marriott City Center
130,Koutiala,ML,88.72,broken clouds,12.3917,-5.4642,Hotel Campement Poule Verte
133,Bethel,US,75.49,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
136,Manono,CD,88.61,clear sky,-7.3,27.4167,Hotel hewa bora
141,Gizo,SB,80.06,overcast clouds,-8.103,156.8419,Imagination Island
